Kanji	Reading	Romaji	Type	Uncommon?	Variation of
親	した.しい	shita.shii	Kun		
親	した.しむ	shita.shimu	Kun		
人	ジン	JIN	On		
人	ニン	NIN	On		
人	ひと	hito	Kun		
刃	ジン	JIN	On		
刃	は	ha	Kun		
仁	ジン	JIN	On		
仁	ニ	NI	On	Y	
尽	ジン	JIN	On		
尽	つ.くす	tsu.kusu	Kun		
尽	つ.きる	tsu.kiru	Kun		
尽	つ.かす	tsu.kasu	Kun		
迅	ジン	JIN	On		
甚	ジン	JIN	On		
甚	はなは.だ	hanaha.da	Kun		
甚	はなは.だしい	hanaha.dashii	Kun		
陣	ジン	JIN	On		
尋	ジン	JIN	On		
尋	たず.ねる	tazu.neru	Kun		
腎	ジン	JIN	On		
須	ス	SU	On		
図	ズ	ZU	On		
図	ト	TO	On		
図	はか.る	haka.ru	Kun		
水	スイ	SUI	On		
水	みず	mizu	Kun		
吹	スイ	SUI	On		
吹	ふ.く	fu.ku	Kun		
垂	スイ	SUI	On		
垂	た.れる	ta.reru	Kun		
垂	た.らす	ta.rasu	Kun		
炊	スイ	SUI	On		
炊	た.く	ta.ku	Kun		
帥	スイ	SUI	On		
粋	スイ	SUI	On		
粋	いき	iki	Kun		
衰	スイ	SUI	On		
衰	おとろ.える	otoro.eru	Kun		
推	スイ	SUI	On		
推	お.す	o.su	Kun		
酔	スイ	SUI	On		
酔	よ.う	yo.u	Kun		
遂	スイ	SUI	On		
遂	と.げる	to.geru	Kun		
睡	スイ	SUI	On		
穂	スイ	SUI	On		
穂	ほ	ho	Kun		
随	ズイ	ZUI	On		
髄	ズイ	ZUI	On		
枢	スウ	SUU	On		
崇	スウ	SUU	On		
数	スウ	SUU	On		
数	ス	SU	On	Y	
数	かず	kazu	Kun		
数	かぞ.える	kazo.eru	Kun		
据	す.える	su.eru	Kun		
据	す.わる	su.waru	Kun		
杉	すぎ	sugi	Kun		
裾	すそ	suso	Kun		
寸	スン	SUN	On		
瀬	せ	se	Kun		
是	ゼ	ZE	On		
井	セイ	SEI	On		
井	ショウ	SHOU	On	Y	
井	い	i	Kun		
世	セイ	SEI	On		
世	セ	SE	On		
世	よ	yo	Kun		
正	セイ	SEI	On		
正	ショウ	SHOU	On		
正	ただ.しい	tada.shii	Kun		
正	ただ.す	tada.su	Kun		
正	まさ	masa	Kun		
生	セイ	SEI	On		
生	ショウ	SHOU	On		
生	い.きる	i.kiru	Kun		
生	い.かす	i.kasu	Kun		
生	い.ける	i.keru	Kun		
生	う.まれる	u.mareru	Kun		
生	う.む	u.mu	Kun		
生	お.う	o.u	Kun		
生	は.える	ha.eru	Kun		
生	は.やす	ha.yasu	Kun		
生	き	ki	Kun		
生	なま	nama	Kun		
成	セイ	SEI	On		
成	ジョウ	JOU	On	Y	
成	な.る	na.ru	Kun		
成	な.す	na.su	Kun		
西	セイ	SEI	On		
西	サイ	SAI	On		
西	にし	nishi	Kun		
声	セイ	SEI	On		
声	ショウ	SHOU	On	Y	
声	こえ	koe	Kun		
声	こわ	kowa	Kun	Y	
制	セイ	SEI	On		
姓	セイ	SEI	On		
姓	ショウ	SHOU	On		
征	セイ	SEI	On		
性	セイ	SEI	On		
性	ショウ	SHOU	On		
青	セイ	SEI	On		
青	ショウ	SHOU	On	Y	
青	あお	ao	Kun		
青	あお.い	ao.i	Kun		
斉	セイ	SEI	On		
政	セイ	SEI	On		
政	ショウ	SHOU	On	Y	
政	まつりごと	matsurigoto	Kun		
星	セイ	SEI	On		
星	ショウ	SHOU	On	Y	
星	ほし	hoshi	Kun		
牲	セイ	SEI	On		
省	セイ	SEI	On		
省	ショウ	SHOU	On		
省	かえり.みる	kaeri.miru	Kun		
省	はぶ.く	habu.ku	Kun		
凄	セイ	SEI	On		
逝	セイ	SEI	On		
逝	ゆ.く	yu.ku	Kun		
逝	い.く	i.ku	Kun		
清	セイ	SEI	On		
清	ショウ	SHOU	On	Y	
清	きよ.い	kiyo.i	Kun		
清	きよ.まる	kiyo.maru	Kun		
清	きよ.める	kiyo.meru	Kun		
盛	セイ	SEI	On		
盛	ジョウ	JOU	On	Y	
盛	も.る	mo.ru	Kun		
盛	さか.る	saka.ru	Kun		
盛	さか.ん	saka.n	Kun		
婿	セイ	SEI	On		
婿	むこ	muko	Kun		
晴	セイ	SEI	On		
晴	は.れる	ha.reru	Kun		
晴	は.らす	ha.rasu	Kun		
勢	セイ	SEI	On		
勢	いきお.い	ikio.i	Kun		
聖	セイ	SEI	On		
誠	セイ	SEI	On		
誠	まこと	makoto	Kun		
精	セイ	SEI	On		
精	ショウ	SHOU	On	Y	
製	セイ	SEI	On		
誓	セイ	SEI	On		
誓	ちか.う	chika.u	Kun		
静	セイ	SEI	On		
静	ジョウ	JOU	On	Y	
静	しず	shizu	Kun		
静	しず.か	shizu.ka	Kun		
静	しず.まる	shizu.maru	Kun		
静	しず.める	shizu.meru	Kun		
請	セイ	SEI	On		
請	シン	SHIN	On	Y	
請	こ.う	ko.u	Kun		
請	うけ.る	uke.ru	Kun		
請	う.ける	u.keru	Kun		
整	セイ	SEI	On		
整	ととの.える	totono.eru	Kun		
整	ととの.う	totono.u	Kun		
醒	セイ	SEI	On		
税	ゼイ	ZEI	On		
夕	セキ	SEKI	On		
夕	ゆう	yuu	Kun		
斥	セキ	SEKI	On		
石	セキ	SEKI	On		
石	シャク	SHAKU	On	Y	
石	コク	KOKU	On	Y	
石	いし	ishi	Kun		
赤	セキ	SEKI	On		
赤	シャク	SHAKU	On	Y	
赤	あか	aka	Kun		
赤	あか.い	aka.i	Kun		
赤	あか.らむ	aka.ramu	Kun		
赤	あか.らめる	aka.rameru	Kun		
昔	セキ	SEKI	On		
昔	シャク	SHAKU	On	Y	
昔	むかし	mukashi	Kun		
析	セキ	SEKI	On		
席	セキ	SEKI	On		
脊	セキ	SEKI	On		
隻	セキ	SEKI	On		
惜	セキ	SEKI	On		
惜	お.しい	o.shii	Kun		
惜	お.しむ	o.shimu	Kun		
戚	セキ	SEKI	On		
責	セキ	SEKI	On		
責	せ.める	se.meru	Kun		
跡	セキ	SEKI	On		
跡	あと	ato	Kun		
積	セキ	SEKI	On		
積	つ.む	tsu.mu	Kun		
積	つ.もる	tsu.moru	Kun		
績	セキ	SEKI	On		
籍	セキ	SEKI	On		
切	セツ	SETSU	On		
切	サイ	SAI	On	Y	
切	き.る	ki.ru	Kun		
切	き.れる	ki.reru	Kun		
折	セツ	SETSU	On		
折	お.る	o.ru	Kun		
折	おり	ori	Kun		
折	お.れる	o.reru	Kun		
拙	セツ	SETSU	On		
拙	つたな.い	tsutana.i	Kun		
窃	セツ	SETSU	On		
接	セツ	SETSU	On		
接	つ.ぐ	tsu.gu	Kun		
設	セツ	SETSU	On		
設	もう.ける	mou.keru	Kun		
雪	セツ	SETSU	On		
雪	ゆき	yuki	Kun		
摂	セツ	SETSU	On		
節	セツ	SETSU	On		
節	セチ	SECHI	On	Y	
節	ふし	fushi	Kun		
説	セツ	SETSU	On		
説	ゼイ	ZEI	On	Y	
説	と.く	to.ku	Kun		
舌	ゼツ	ZETSU	On		
舌	した	shita	Kun		
絶	ゼツ	ZETSU	On		
絶	た.える	ta.eru	Kun		
絶	た.やす	ta.yasu	Kun		
絶	た.つ	ta.tsu	Kun		
千	セン	SEN	On		
千	ち	chi	Kun		
川	セン	SEN	On		
川	かわ	kawa	Kun		
仙	セン	SEN	On		
占	セン	SEN	On		
占	し.める	shi.meru	Kun		
占	うらな.う	urana.u	Kun		
先	セン	SEN	On		
先	さき	saki	Kun		
宣	セン	SEN	On		
専	セン	SEN	On		
専	もっぱ.ら	moppa.ra	Kun		
泉	セン	SEN	On		
泉	いずみ	izumi	Kun		
浅	セン	SEN	On		
浅	あさ.い	asa.i	Kun		
洗	セン	SEN	On		
洗	あら.う	ara.u	Kun		
染	セン	SEN	On		
染	そ.める	so.meru	Kun		
染	そ.まる	so.maru	Kun		
染	し.みる	shi.miru	Kun		
染	し.み	shi.mi	Kun		
扇	セン	SEN	On		
扇	おうぎ	ougi	Kun		
栓	セン	SEN	On		
旋	セン	SEN	On		
船	セン	SEN	On		
船	ふね	fune	Kun		
船	ふな	funa	Kun	Y	
戦	セン	SEN	On		
戦	いくさ	ikusa	Kun		
戦	たたか.う	tataka.u	Kun		
煎	セン	SEN	On		
煎	い.る	i.ru	Kun		
羨	セン	SEN	On		
羨	うらや.む	uraya.mu	Kun		
羨	うらや.ましい	uraya.mashii	Kun		
腺	セン	SEN	On		
詮	セン	SEN	On		
践	セン	SEN	On		
箋	セン	SEN	On		
銭	セン	SEN	On		
銭	ぜに	zeni	Kun		
潜	セン	SEN	On		
潜	ひそ.む	hiso.mu	Kun		
潜	もぐ.る	mogu.ru	Kun		
線	セン	SEN	On		
遷	セン	SEN	On		
選	セン	SEN	On		
選	えら.ぶ	era.bu	Kun		
薦	セン	SEN	On		
薦	すす.める	susu.meru	Kun		
繊	セン	SEN	On		
鮮	セン	SEN	On		
鮮	あざ.やか	aza.yaka	Kun		
全	ゼン	ZEN	On		
全	まった.く	matta.ku	Kun		
全	すべ.て	sube.te	Kun		
前	ゼン	ZEN	On		
前	まえ	mae	Kun		
善	ゼン	ZEN	On		
善	よ.い	yo.i	Kun		
然	ゼン	ZEN	On		
然	ネン	NEN	On		
禅	ゼン	ZEN	On		
漸	ゼン	ZEN	On		
膳	ゼン	ZEN	On		
繕	ゼン	ZEN	On		
繕	つくろ.う	tsukuro.u	Kun		
狙	ソ	SO	On		
狙	ねら.う	nera.u	Kun		
阻	ソ	SO	On		
阻	はば.む	haba.mu	Kun		
祖	ソ	SO	On		
租	ソ	SO	On		
素	ソ	SO	On		
素	ス	SU	On		
措	ソ	SO	On		
粗	ソ	SO	On		
粗	あら.い	ara.i	Kun		
組	ソ	SO	On		
組	く.む	ku.mu	Kun		
組	くみ	kumi	Kun		
疎	ソ	SO	On		
疎	うと.い	uto.i	Kun		
