Kanji	Reading	Romaji	Type	Uncommon?	Variation of
弔	とむら.う	tomura.u	Kun		
庁	チョウ	CHOU	On		
兆	チョウ	CHOU	On		
兆	きざ.す	kiza.su	Kun		
兆	きざ.し	kiza.shi	Kun		
町	チョウ	CHOU	On		
町	まち	machi	Kun		
長	チョウ	CHOU	On		
長	なが.い	naga.i	Kun		
挑	チョウ	CHOU	On		
挑	いど.む	ido.mu	Kun		
帳	チョウ	CHOU	On		
張	チョウ	CHOU	On		
張	は.る	ha.ru	Kun		
彫	チョウ	CHOU	On		
彫	ほ.る	ho.ru	Kun		
眺	チョウ	CHOU	On		
眺	なが.める	naga.meru	Kun		
釣	チョウ	CHOU	On		
釣	つ.る	tsu.ru	Kun		
頂	チョウ	CHOU	On		
頂	いただ.く	itada.ku	Kun		
頂	いただき	itadaki	Kun		
鳥	チョウ	CHOU	On		
鳥	とり	tori	Kun		
朝	チョウ	CHOU	On		
朝	あさ	asa	Kun		
貼	チョウ	CHOU	On		
貼	は.る	ha.ru	Kun		
超	チョウ	CHOU	On		
超	こ.える	ko.eru	Kun		
超	こ.す	ko.su	Kun		
腸	チョウ	CHOU	On		
跳	チョウ	CHOU	On		
跳	は.ねる	ha.neru	Kun		
跳	と.ぶ	to.bu	Kun		
徴	チョウ	CHOU	On		
嘲	チョウ	CHOU	On		
嘲	あざけ.る	azake.ru	Kun		
潮	チョウ	CHOU	On		
潮	しお	shio	Kun		
澄	チョウ	CHOU	On		
澄	す.む	su.mu	Kun		
澄	す.ます	su.masu	Kun		
調	チョウ	CHOU	On		
調	しら.べる	shira.beru	Kun		
調	ととの.う	totono.u	Kun		
調	ととの.える	totono.eru	Kun		
聴	チョウ	CHOU	On		
聴	き.く	ki.ku	Kun		
懲	チョウ	CHOU	On		
懲	こ.りる	ko.riru	Kun		
懲	こ.らす	ko.rasu	Kun		
懲	こ.らしめる	ko.rashimeru	Kun		
直	チョク	CHOKU	On		
直	ジキ	JIKI	On		
直	ただ.ちに	tada.chini	Kun		
直	なお.す	nao.su	Kun		
直	なお.る	nao.ru	Kun		
勅	チョク	CHOKU	On		
捗	チョク	CHOKU	On		
沈	チン	CHIN	On		
沈	しず.む	shizu.mu	Kun		
沈	しず.める	shizu.meru	Kun		
珍	チン	CHIN	On		
珍	めずら.しい	mezura.shii	Kun		
朕	チン	CHIN	On		
陳	チン	CHIN	On		
賃	チン	CHIN	On		
鎮	チン	CHIN	On		
鎮	しず.める	shizu.meru	Kun		
鎮	しず.まる	shizu.maru	Kun		
追	ツイ	TSUI	On		
追	お.う	o.u	Kun		
椎	ツイ	TSUI	On		
墜	ツイ	TSUI	On		
通	ツウ	TSUU	On		
通	ツ	TSU	On	Y	
通	とお.る	too.ru	Kun		
通	とお.す	too.su	Kun		
通	かよ.う	kayo.u	Kun		
痛	ツウ	TSUU	On		
痛	いた.い	ita.i	Kun		
痛	いた.む	ita.mu	Kun		
痛	いた.める	ita.meru	Kun		
塚	つか	tsuka	Kun		
漬	つけ.る	tsuke.ru	Kun		
漬	つ.ける	tsu.keru	Kun		
漬	つ.かる	tsu.karu	Kun		
坪	つぼ	tsubo	Kun		
爪	つめ	tsume	Kun		
爪	つま	tsuma	Kun	Y	
鶴	つる	tsuru	Kun		
低	テイ	TEI	On		
低	ひく.い	hiku.i	Kun		
低	ひく.める	hiku.meru	Kun		
低	ひく.まる	hiku.maru	Kun		
呈	テイ	TEI	On		
廷	テイ	TEI	On		
弟	テイ	TEI	On		
弟	ダイ	DAI	On	Y	
弟	デ	DE	On	Y	
弟	おとうと	otouto	Kun		
定	テイ	TEI	On		
定	ジョウ	JOU	On		
定	さだ.める	sada.meru	Kun		
定	さだ.まる	sada.maru	Kun		
定	さだ.か	sada.ka	Kun		
底	テイ	TEI	On		
底	そこ	soko	Kun		
抵	テイ	TEI	On		
邸	テイ	TEI	On		
亭	テイ	TEI	On		
貞	テイ	TEI	On		
帝	テイ	TEI	On		
訂	テイ	TEI	On		
庭	テイ	TEI	On		
庭	にわ	niwa	Kun		
逓	テイ	TEI	On		
停	テイ	TEI	On		
偵	テイ	TEI	On		
堤	テイ	TEI	On		
堤	つつみ	tsutsumi	Kun		
提	テイ	TEI	On		
提	さ.げる	sa.geru	Kun		
程	テイ	TEI	On		
程	ほど	hodo	Kun		
艇	テイ	TEI	On		
締	テイ	TEI	On		
締	し.まる	shi.maru	Kun		
締	し.める	shi.meru	Kun		
諦	テイ	TEI	On		
諦	あきら.める	akira.meru	Kun		
泥	デイ	DEI	On		
泥	どろ	doro	Kun		
的	テキ	TEKI	On		
的	まと	mato	Kun		
笛	テキ	TEKI	On		
笛	ふえ	fue	Kun		
摘	テキ	TEKI	On		
摘	つ.む	tsu.mu	Kun		
滴	テキ	TEKI	On		
滴	しずく	shizuku	Kun		
滴	したた.る	shitata.ru	Kun		
適	テキ	TEKI	On		
敵	テキ	TEKI	On		
敵	かたき	kataki	Kun		
溺	デキ	DEKI	On		
溺	おぼ.れる	obo.reru	Kun		
迭	テツ	TETSU	On		
哲	テツ	TETSU	On		
鉄	テツ	TETSU	On		
徹	テツ	TETSU	On		
撤	テツ	TETSU	On		
天	テン	TEN	On		
天	あめ	ame	Kun		
天	あま	ama	Kun	Y	
典	テン	TEN	On		
店	テン	TEN	On		
店	みせ	mise	Kun		
点	テン	TEN	On		
展	テン	TEN	On		
添	テン	TEN	On		
添	そ.える	so.eru	Kun		
添	そ.う	so.u	Kun		
転	テン	TEN	On		
転	ころ.がる	koro.garu	Kun		
転	ころ.げる	koro.geru	Kun		
転	ころ.がす	koro.gasu	Kun		
転	ころ.ぶ	koro.bu	Kun		
填	テン	TEN	On		
田	デン	DEN	On		
田	た	ta	Kun		
伝	デン	DEN	On		
伝	つた.わる	tsuta.waru	Kun		
伝	つた.える	tsuta.eru	Kun		
伝	つた.う	tsuta.u	Kun		
殿	デン	DEN	On		
殿	テン	TEN	On		
殿	との	tono	Kun		
殿	どの	dono	Kun		
電	デン	DEN	On		
斗	ト	TO	On		
吐	ト	TO	On		
吐	は.く	ha.ku	Kun		
妬	ト	TO	On		
妬	ねた.む	neta.mu	Kun		
徒	ト	TO	On		
途	ト	TO	On		
都	ト	TO	On		
都	ツ	TSU	On		
都	みやこ	miyako	Kun		
渡	ト	TO	On		
渡	わた.る	wata.ru	Kun		
渡	わた.す	wata.su	Kun		
塗	ト	TO	On		
塗	ぬ.る	nu.ru	Kun		
賭	ト	TO	On		
賭	か.ける	ka.keru	Kun		
土	ド	DO	On		
土	ト	TO	On		
土	つち	tsuchi	Kun		
奴	ド	DO	On		
努	ド	DO	On		
努	つと.める	tsuto.meru	Kun		
度	ド	DO	On		
度	ト	TO	On	Y	
度	タク	TAKU	On	Y	
度	たび	tabi	Kun		
怒	ド	DO	On		
怒	いか.る	ika.ru	Kun		
怒	おこ.る	oko.ru	Kun		
刀	トウ	TOU	On		
刀	かたな	katana	Kun		
冬	トウ	TOU	On		
冬	ふゆ	fuyu	Kun		
灯	トウ	TOU	On		
灯	ひ	hi	Kun		
当	トウ	TOU	On		
当	あ.たる	a.taru	Kun		
当	あ.てる	a.teru	Kun		
投	トウ	TOU	On		
投	な.げる	na.geru	Kun		
豆	トウ	TOU	On		
豆	ズ	ZU	On	Y	
豆	まめ	mame	Kun		
東	トウ	TOU	On		
東	ひがし	higashi	Kun		
到	トウ	TOU	On		
逃	トウ	TOU	On		
逃	に.げる	ni.geru	Kun		
逃	に.がす	ni.gasu	Kun		
逃	のが.す	noga.su	Kun		
逃	のが.れる	noga.reru	Kun		
倒	トウ	TOU	On		
倒	たお.れる	tao.reru	Kun		
倒	たお.す	tao.su	Kun		
凍	トウ	TOU	On		
凍	こお.る	koo.ru	Kun		
凍	こご.える	kogo.eru	Kun		
唐	トウ	TOU	On		
唐	から	kara	Kun		
島	トウ	TOU	On		
島	しま	shima	Kun		
桃	トウ	TOU	On		
桃	もも	momo	Kun		
討	トウ	TOU	On		
討	う.つ	u.tsu	Kun		
透	トウ	TOU	On		
透	す.く	su.ku	Kun		
透	す.かす	su.kasu	Kun		
透	す.ける	su.keru	Kun		
党	トウ	TOU	On		
悼	トウ	TOU	On		
悼	いた.む	ita.mu	Kun		
盗	トウ	TOU	On		
盗	ぬす.む	nusu.mu	Kun		
陶	トウ	TOU	On		
塔	トウ	TOU	On		
搭	トウ	TOU	On		
棟	トウ	TOU	On		
棟	むね	mune	Kun		
棟	むな	muna	Kun	Y	
湯	トウ	TOU	On		
湯	ゆ	yu	Kun		
痘	トウ	TOU	On		
登	トウ	TOU	On		
登	ト	TO	On		
登	のぼ.る	nobo.ru	Kun		
答	トウ	TOU	On		
答	こた.える	kota.eru	Kun		
答	こた.え	kota.e	Kun		
等	トウ	TOU	On		
等	ひと.しい	hito.shii	Kun		
筒	トウ	TOU	On		
筒	つつ	tsutsu	Kun		
統	トウ	TOU	On		
統	す.べる	su.beru	Kun		
稲	トウ	TOU	On		
稲	いね	ine	Kun		
稲	いな	ina	Kun	Y	
踏	トウ	TOU	On		
踏	ふ.む	fu.mu	Kun		
踏	ふ.まえる	fu.maeru	Kun		
糖	トウ	TOU	On		
頭	トウ	TOU	On		
頭	ズ	ZU	On		
頭	ト	TO	On	Y	
頭	あたま	atama	Kun		
頭	かしら	kashira	Kun		
謄	トウ	TOU	On		
藤	トウ	TOU	On		
藤	ふじ	fuji	Kun		
闘	トウ	TOU	On		
闘	たたか.う	tataka.u	Kun		
騰	トウ	TOU	On		
同	ドウ	DOU	On		
同	おな.じ	ona.ji	Kun		
洞	ドウ	DOU	On		
洞	ほら	hora	Kun		
胴	ドウ	DOU	On		
動	ドウ	DOU	On		
動	うご.く	ugo.ku	Kun		
動	うご.かす	ugo.kasu	Kun		
堂	ドウ	DOU	On		
童	ドウ	DOU	On		
童	わらべ	warabe	Kun		
道	ドウ	DOU	On		
道	トウ	TOU	On	Y	
道	みち	michi	Kun		
働	ドウ	DOU	On		
働	はたら.く	hatara.ku	Kun		
銅	ドウ	DOU	On		
導	ドウ	DOU	On		
導	みちび.く	michibi.ku	Kun		
瞳	ドウ	DOU	On		
瞳	ひとみ	hitomi	Kun		
峠	とうげ	touge	Kun		
匿	トク	TOKU	On		
特	トク	TOKU	On		
得	トク	TOKU	On		
得	え.る	e.ru	Kun		
得	う.る	u.ru	Kun		
督	トク	TOKU	On		
徳	トク	TOKU	On		
篤	トク	TOKU	On		
毒	ドク	DOKU	On		
独	ドク	DOKU	On		
独	ひと.り	hito.ri	Kun		
読	ドク	DOKU	On		
読	トク	TOKU	On		
読	トウ	TOU	On	Y	
読	よ.む	yo.mu	Kun		
栃	とち	tochi	Kun	Y	
凸	トツ	TOTSU	On		
突	トツ	TOTSU	On		
突	つ.く	tsu.ku	Kun		
届	とど.ける	todo.keru	Kun		
届	とど.く	todo.ku	Kun		
屯	トン	TON	On		
豚	トン	TON	On		
豚	ぶた	buta	Kun		
頓	トン	TON	On		
貪	ドン	DON	On		
貪	むさぼ.る	musabo.ru	Kun		
鈍	ドン	DON	On		
鈍	にぶ.い	nibu.i	Kun		
鈍	にぶ.る	nibu.ru	Kun		
曇	ドン	DON	On		
曇	くも.る	kumo.ru	Kun		
丼	どんぶり	donburi	Kun		
丼	どん	don	Kun	Y	
那	ナ	NA	On		
奈	ナ	NA	On		
内	ナイ	NAI	On		
内	ダイ	DAI	On	Y	
内	うち	uchi	Kun		
梨	なし	nashi	Kun		
謎	なぞ	nazo	Kun		
鍋	なべ	nabe	Kun		
南	ナン	NAN	On		
南	ナ	NA	On	Y	
南	みなみ	minami	Kun		
軟	ナン	NAN	On		
軟	やわ.らか	yawa.raka	Kun		
軟	やわ.らかい	yawa.rakai	Kun		
難	ナン	NAN	On		
難	かた.い	kata.i	Kun		
難	むずか.しい	muzuka.shii	Kun		
二	ニ	NI	On		
二	ふた	futa	Kun		
二	ふた.つ	futa.tsu	Kun		
尼	ニ	NI	On		
尼	あま	ama	Kun		
弐	ニ	NI	On		
匂	にお.う	nio.u	Kun		
肉	ニク	NIKU	On		
虹	にじ	niji	Kun		
日	ニチ	NICHI	On		
日	ジツ	JITSU	On		
日	ひ	hi	Kun		
日	か	ka	Kun		
入	ニュウ	NYUU	On		
入	い.る	i.ru	Kun		
入	い.れる	i.reru	Kun		
入	はい.る	hai.ru	Kun		
乳	ニュウ	NYUU	On		
乳	ちち	chichi	Kun		
乳	ち	chi	Kun		
尿	ニョウ	NYOU	On		
任	ニン	NIN	On		
任	まか.せる	maka.seru	Kun		
任	まか.す	maka.su	Kun		
妊	ニン	NIN	On		
忍	ニン	NIN	On		
忍	しの.ぶ	shino.bu	Kun		
忍	しの.ばせる	shino.baseru	Kun		
認	ニン	NIN	On		
認	みと.める	mito.meru	Kun		
寧	ネイ	NEI	On		
熱	ネツ	NETSU	On		
熱	あつ.い	atsu.i	Kun		
年	ネン	NEN	On		
年	とし	toshi	Kun		
念	ネン	NEN	On		
捻	ネン	NEN	On		
粘	ネン	NEN	On		
粘	ねば.る	neba.ru	Kun		
燃	ネン	NEN	On		
燃	も.える	mo.eru	Kun		
燃	も.やす	mo.yasu	Kun		
燃	も.す	mo.su	Kun		
悩	ノウ	NOU	On		
悩	なや.む	naya.mu	Kun		
悩	なや.ます	naya.masu	Kun		
納	ノウ	NOU	On		
納	ナッ	NAXTSU	On	Y	
納	ナ	NA	On	Y	
納	ナン	NAN	On	Y	
納	トウ	TOU	On	Y	
納	おさ.める	osa.meru	Kun		
納	おさ.まる	osa.maru	Kun		
能	ノウ	NOU	On		
脳	ノウ	NOU	On		
農	ノウ	NOU	On		
濃	ノウ	NOU	On		
濃	こ.い	ko.i	Kun		
把	ワ	WA	On		ハ
把	バ	BA	On		ハ
把	パ	PA	On		ハ
把	ハ	HA	On		
波	ハ	HA	On		
波	なみ	nami	Kun		
派	ハ	HA	On		
破	ハ	HA	On		
破	やぶ.る	yabu.ru	Kun		
破	やぶ.れる	yabu.reru	Kun		
覇	ハ	HA	On		
馬	バ	BA	On		
馬	うま	uma	Kun		
馬	ま	ma	Kun	Y	
婆	バ	BA	On		
罵	バ	BA	On		
罵	ののし.る	nonoshi.ru	Kun		
拝	ハイ	HAI	On		
拝	おが.む	oga.mu	Kun		
杯	ハイ	HAI	On		
杯	さかずき	sakazuki	Kun		
背	ハイ	HAI	On		
背	せ	se	Kun		
背	せい	sei	Kun		
背	そむ.く	somu.ku	Kun		
背	そむ.ける	somu.keru	Kun		
肺	ハイ	HAI	On		
俳	ハイ	HAI	On		
配	ハイ	HAI	On		
配	くば.る	kuba.ru	Kun		
排	ハイ	HAI	On		
敗	ハイ	HAI	On		
敗	やぶ.れる	yabu.reru	Kun		
廃	ハイ	HAI	On		
廃	すた.れる	suta.reru	Kun		
廃	すた.る	suta.ru	Kun		
輩	ハイ	HAI	On		
売	バイ	BAI	On		
売	う.る	u.ru	Kun		
売	う.れる	u.reru	Kun		
倍	バイ	BAI	On		
梅	バイ	BAI	On		
梅	うめ	ume	Kun		
培	バイ	BAI	On		
培	つちか.う	tsuchika.u	Kun		
陪	バイ	BAI	On		
媒	バイ	BAI	On		
買	バイ	BAI	On		
買	か.う	ka.u	Kun		
賠	バイ	BAI	On		
白	ハク	HAKU	On		
白	ビャク	BYAKU	On		
白	しろ	shiro	Kun		
白	しら	shira	Kun	Y	
白	しろ.い	shiro.i	Kun		
伯	ハク	HAKU	On		
拍	ハク	HAKU	On		
拍	ヒョウ	HYOU	On	Y	
泊	ハク	HAKU	On		
泊	と.まる	to.maru	Kun		
泊	と.める	to.meru	Kun		
迫	ハク	HAKU	On		
迫	せま.る	sema.ru	Kun		
剥	ハク	HAKU	On		
剥	は.がす	ha.gasu	Kun		
剥	は.ぐ	ha.gu	Kun		
剥	は.がれる	ha.gareru	Kun		
剥	は.げる	ha.geru	Kun		
舶	ハク	HAKU	On		
博	ハク	HAKU	On		
博	バク	BAKU	On	Y	
薄	ハク	HAKU	On		
薄	うす.い	usu.i	Kun		
薄	うす.める	usu.meru	Kun		
薄	うす.まる	usu.maru	Kun		
薄	うす.らぐ	usu.ragu	Kun		
薄	うす.れる	usu.reru	Kun		
麦	バク	BAKU	On		
麦	むぎ	mugi	Kun		
漠	バク	BAKU	On		
縛	バク	BAKU	On		
縛	しば.る	shiba.ru	Kun		
爆	バク	BAKU	On		
箱	はこ	hako	Kun		
箸	はし	hashi	Kun		
畑	はた	hata	Kun		
畑	はたけ	hatake	Kun		
肌	はだ	hada	Kun		
八	ハチ	HACHI	On		
八	や	ya	Kun		
八	や.つ	ya.tsu	Kun		
八	やっ.つ	yaxtsu.tsu	Kun		
八	よう	you	Kun	Y	
鉢	ハチ	HACHI	On		
鉢	ハツ	HATSU	On	Y	
発	ハツ	HATSU	On		
発	ホツ	HOTSU	On		
髪	ハツ	HATSU	On		
髪	かみ	kami	Kun		
伐	バツ	BATSU	On		
抜	バツ	BATSU	On		
抜	ぬ.く	nu.ku	Kun		
抜	ぬ.ける	nu.keru	Kun		
抜	ぬ.かす	nu.kasu	Kun		
抜	ぬ.かる	nu.karu	Kun		
罰	バツ	BATSU	On		
罰	バチ	BACHI	On		
閥	バツ	BATSU	On		
反	ハン	HAN	On		
反	ホン	HON	On	Y	
反	タン	TAN	On	Y	
反	そ.る	so.ru	Kun		
反	そ.らす	so.rasu	Kun		
半	ハン	HAN	On		
半	なか.ば	naka.ba	Kun		
氾	ハン	HAN	On		
犯	ハン	HAN	On		
犯	おか.す	oka.su	Kun		
帆	ハン	HAN	On		
帆	ほ	ho	Kun		
汎	ハン	HAN	On		
伴	ハン	HAN	On		
伴	バン	BAN	On		
伴	ともな.う	tomona.u	Kun		
判	ハン	HAN	On		
判	バン	BAN	On		
坂	ハン	HAN	On		
坂	さか	saka	Kun		
阪	ハン	HAN	On		
板	ハン	HAN	On		
板	バン	BAN	On		
板	いた	ita	Kun		
版	ハン	HAN	On		
班	ハン	HAN	On		
畔	ハン	HAN	On		
般	ハン	HAN	On		
販	ハン	HAN	On		
斑	ハン	HAN	On		
飯	ハン	HAN	On		
飯	めし	meshi	Kun		
搬	ハン	HAN	On		
煩	ハン	HAN	On		
煩	ボン	BON	On	Y	
煩	わずら.う	wazura.u	Kun		
煩	わずら.わす	wazura.wasu	Kun		
頒	ハン	HAN	On		
範	ハン	HAN	On		
繁	ハン	HAN	On		
藩	ハン	HAN	On		
晩	バン	BAN	On		
番	バン	BAN	On		
蛮	バン	BAN	On		
盤	バン	BAN	On		
比	ヒ	HI	On		
比	くら.べる	kura.beru	Kun		
皮	ヒ	HI	On		
皮	かわ	kawa	Kun		
妃	ヒ	HI	On		
否	ヒ	HI	On		
否	いな	ina	Kun		
批	ヒ	HI	On		
彼	ヒ	HI	On		
彼	かれ	kare	Kun		
彼	かの	kano	Kun	Y	
披	ヒ	HI	On		
肥	ヒ	HI	On		
肥	こ.える	ko.eru	Kun		
肥	こえ	koe	Kun		
肥	こ.やす	ko.yasu	Kun		
肥	こ.やし	ko.yashi	Kun		
非	ヒ	HI	On		
卑	ヒ	HI	On		
卑	いや.しい	iya.shii	Kun		
卑	いや.しむ	iya.shimu	Kun		
卑	いや.しめる	iya.shimeru	Kun		
飛	ヒ	HI	On		
飛	と.ぶ	to.bu	Kun		
飛	と.ばす	to.basu	Kun		
疲	ヒ	HI	On		
疲	つか.れる	tsuka.reru	Kun		
秘	ヒ	HI	On		
秘	ひ.める	hi.meru	Kun		
被	ヒ	HI	On		
被	こうむ.る	koumu.ru	Kun		
悲	ヒ	HI	On		
悲	かな.しい	kana.shii	Kun		
悲	かな.しむ	kana.shimu	Kun		
扉	ヒ	HI	On		
扉	とびら	tobira	Kun		
費	ヒ	HI	On		
費	つい.やす	tsui.yasu	Kun		
費	つい.える	tsui.eru	Kun		
碑	ヒ	HI	On		
罷	ヒ	HI	On		
避	ヒ	HI	On		
避	さ.ける	sa.keru	Kun		
尾	ビ	BI	On		
尾	お	o	Kun		
眉	ビ	BI	On		
眉	ミ	MI	On	Y	
眉	まゆ	mayu	Kun		
美	ビ	BI	On		
美	うつく.しい	utsuku.shii	Kun		
備	ビ	BI	On		
備	そな.える	sona.eru	Kun		
備	そな.わる	sona.waru	Kun		
微	ビ	BI	On		
鼻	ビ	BI	On		
鼻	はな	hana	Kun		
膝	ひざ	hiza	Kun		
肘	ひじ	hiji	Kun		
匹	ヒツ	HITSU	On		
匹	ひき	hiki	Kun		
必	ヒツ	HITSU	On		
必	かなら.ず	kanara.zu	Kun		
泌	ヒツ	HITSU	On		
泌	ヒ	HI	On		
筆	ヒツ	HITSU	On		
筆	ふで	fude	Kun		
姫	ひめ	hime	Kun		
百	ヒャク	HYAKU	On		
氷	ヒョウ	HYOU	On		
氷	こおり	koori	Kun		
氷	ひ	hi	Kun		
表	ヒョウ	HYOU	On		
表	おもて	omote	Kun		
表	あらわ.す	arawa.su	Kun		
表	あらわ.れる	arawa.reru	Kun		
俵	ヒョウ	HYOU	On		
俵	たわら	tawara	Kun		
票	ヒョウ	HYOU	On		
評	ヒョウ	HYOU	On		
漂	ヒョウ	HYOU	On		
漂	ただよ.う	tadayo.u	Kun		
標	ヒョウ	HYOU	On		
苗	ビョウ	BYOU	On		
苗	なえ	nae	Kun		
苗	なわ	nawa	Kun	Y	
秒	ビョウ	BYOU	On		
病	ビョウ	BYOU	On		
病	ヘイ	HEI	On	Y	
病	や.む	ya.mu	Kun		
病	やまい	yamai	Kun		
描	ビョウ	BYOU	On		
描	えが.く	ega.ku	Kun		
描	か.く	ka.ku	Kun		
猫	ビョウ	BYOU	On		
猫	ねこ	neko	Kun		
品	ヒン	HIN	On		
品	しな	shina	Kun		
浜	ヒン	HIN	On		
浜	はま	hama	Kun		
貧	ヒン	HIN	On		
貧	ビン	BIN	On		
貧	まず.しい	mazu.shii	Kun		
賓	ヒン	HIN	On		
頻	ヒン	HIN	On		
敏	ビン	BIN	On		
瓶	ビン	BIN	On		
不	フ	FU	On		
不	ブ	BU	On		
夫	フ	FU	On		
夫	フウ	FUU	On	Y	
夫	おっと	otto	Kun		
父	フ	FU	On		
父	ちち	chichi	Kun		
付	フ	FU	On		
付	つ.ける	tsu.keru	Kun		
付	つ.く	tsu.ku	Kun		
布	フ	FU	On		
布	ぬの	nuno	Kun		
扶	フ	FU	On		
府	フ	FU	On		
怖	フ	FU	On		
怖	こわ.い	kowa.i	Kun		
阜	フ	FU	On	Y	
附	フ	FU	On		
訃	フ	FU	On		
負	フ	FU	On		
負	ま.ける	ma.keru	Kun		
負	ま.かす	ma.kasu	Kun		
負	お.う	o.u	Kun		
赴	フ	FU	On		
赴	おもむ.く	omomu.ku	Kun		
浮	フ	FU	On		
浮	う.く	u.ku	Kun		
浮	う.かれる	u.kareru	Kun		
浮	う.かぶ	u.kabu	Kun		
浮	う.かべる	u.kaberu	Kun		
婦	フ	FU	On		
符	フ	FU	On		
富	フ	FU	On		
富	フウ	FUU	On	Y	
富	と.む	to.mu	Kun		
富	とみ	tomi	Kun		
普	フ	FU	On		
腐	フ	FU	On		
腐	くさ.る	kusa.ru	Kun		
腐	くさ.れる	kusa.reru	Kun		
腐	くさ.らす	kusa.rasu	Kun		
敷	フ	FU	On		
敷	し.く	shi.ku	Kun		
膚	フ	FU	On		
賦	フ	FU	On		
譜	フ	FU	On		
侮	ブ	BU	On		
侮	あなど.る	anado.ru	Kun		
武	ブ	BU	On		
武	ム	MU	On		
部	ブ	BU	On		
舞	ブ	BU	On		
舞	ま.う	ma.u	Kun		
舞	まい	mai	Kun		
封	フウ	FUU	On		
封	ホウ	HOU	On		
風	フウ	FUU	On		
風	フ	FU	On	Y	
風	かぜ	kaze	Kun		
風	かざ	kaza	Kun	Y	
伏	フク	FUKU	On		
伏	ふ.せる	fu.seru	Kun		
伏	ふ.す	fu.su	Kun		
服	フク	FUKU	On		
副	フク	FUKU	On		
幅	フク	FUKU	On		
幅	はば	haba	Kun		
復	フク	FUKU	On		
福	フク	FUKU	On		
腹	フク	FUKU	On		
腹	はら	hara	Kun		
複	フク	FUKU	On		
覆	フク	FUKU	On		
覆	おお.う	oo.u	Kun		
覆	くつがえ.す	kutsugae.su	Kun		
覆	くつがえ.る	kutsugae.ru	Kun		
払	フツ	FUTSU	On		
払	はら.う	hara.u	Kun		
沸	フツ	FUTSU	On		
沸	わ.く	wa.ku	Kun		
沸	わ.かす	wa.kasu	Kun		
仏	ブツ	BUTSU	On		
仏	ほとけ	hotoke	Kun		
物	ブツ	BUTSU	On		
物	モツ	MOTSU	On		
物	もの	mono	Kun		
粉	フン	FUN	On		
粉	こ	ko	Kun		
粉	こな	kona	Kun		
紛	フン	FUN	On		
紛	まぎ.れる	magi.reru	Kun		
紛	まぎ.らす	magi.rasu	Kun		
紛	まぎ.らわす	magi.rawasu	Kun		
紛	まぎ.らわしい	magi.rawashii	Kun		
雰	フン	FUN	On		
噴	フン	FUN	On		
噴	ふ.く	fu.ku	Kun		
墳	フン	FUN	On		
憤	フン	FUN	On		
憤	いきどお.る	ikidoo.ru	Kun		
奮	フン	FUN	On		
奮	ふる.う	furu.u	Kun		
分	ブン	BUN	On		
分	フン	FUN	On		
分	ブ	BU	On		
分	わ.ける	wa.keru	Kun		
分	わ.かれる	wa.kareru	Kun		
分	わ.かる	wa.karu	Kun		
分	わ.かつ	wa.katsu	Kun		
文	ブン	BUN	On		
文	モン	MON	On		
文	ふみ	fumi	Kun		
聞	ブン	BUN	On		
聞	モン	MON	On		
聞	き.く	ki.ku	Kun		
聞	き.こえる	ki.koeru	Kun		
丙	ヘイ	HEI	On		
平	ヘイ	HEI	On		
平	ビョウ	BYOU	On		
平	たい.ら	tai.ra	Kun		
平	ひら	hira	Kun		
兵	ヘイ	HEI	On		
兵	ヒョウ	HYOU	On		
併	ヘイ	HEI	On		
併	あわ.せる	awa.seru	Kun		
並	ヘイ	HEI	On		
並	な.み	na.mi	Kun		
並	なら.べる	nara.beru	Kun		
並	なら.ぶ	nara.bu	Kun		
並	なら.びに	nara.bini	Kun		
柄	ヘイ	HEI	On		
柄	がら	gara	Kun		
柄	え	e	Kun		
陛	ヘイ	HEI	On		
閉	ヘイ	HEI	On		
閉	と.じる	to.jiru	Kun		
閉	と.ざす	to.zasu	Kun		
閉	し.める	shi.meru	Kun		
閉	し.まる	shi.maru	Kun		
塀	ヘイ	HEI	On		
幣	ヘイ	HEI	On		
弊	ヘイ	HEI	On		
蔽	ヘイ	HEI	On		
餅	ヘイ	HEI	On		
餅	もち	mochi	Kun		
米	ベイ	BEI	On		
米	マイ	MAI	On		
米	こめ	kome	Kun		
壁	ヘキ	HEKI	On		
壁	かべ	kabe	Kun		
璧	ヘキ	HEKI	On		
癖	ヘキ	HEKI	On		
癖	くせ	kuse	Kun		
別	ベツ	BETSU	On		
別	わか.れる	waka.reru	Kun		
蔑	ベツ	BETSU	On		
蔑	さげす.む	sagesu.mu	Kun		
片	ヘン	HEN	On		
片	かた	kata	Kun		
辺	ヘン	HEN	On		
辺	あた.り	ata.ri	Kun		
辺	べ	be	Kun		
返	ヘン	HEN	On		
返	かえ.す	kae.su	Kun		
返	かえ.る	kae.ru	Kun		
変	ヘン	HEN	On		
変	か.わる	ka.waru	Kun		
変	か.える	ka.eru	Kun		
偏	ヘン	HEN	On		
偏	かたよ.る	katayo.ru	Kun		
遍	ヘン	HEN	On		
編	ヘン	HEN	On		
編	あ.む	a.mu	Kun		
弁	ベン	BEN	On		
便	ベン	BEN	On		
便	ビン	BIN	On		
便	たよ.り	tayo.ri	Kun		
勉	ベン	BEN	On		
歩	ホ	HO	On		
歩	ブ	BU	On		
歩	フ	FU	On	Y	
歩	ある.く	aru.ku	Kun		
歩	あゆ.む	ayu.mu	Kun		
保	ホ	HO	On		
保	たも.つ	tamo.tsu	Kun		
哺	ホ	HO	On		
捕	ホ	HO	On		
