Kanji	Reading	Uncommon reading?	Variation of	Example	POS of example
亜	ア			亜流	
亜	ア			亜麻	
亜	ア			亜熱帯	
哀	アイ			哀愁	
哀	アイ			哀願	
哀	アイ			悲哀	
哀	あわ.れ			哀れ	
哀	あわ.れ			哀れな話	
哀	あわ.れ			哀れがる	
哀	あわ.れむ			哀れむ	
哀	あわ.れむ			哀れみ	
挨	アイ			挨拶	
愛	アイ			愛情	
愛	アイ			愛読	
愛	アイ			恋愛	
曖	アイ			曖昧	
悪	アク			悪事	
悪	アク			悪意	
悪	アク			醜悪	
悪	オ			悪寒	
悪	オ			好悪	
悪	オ			憎悪	
悪	わる.い			悪い	
悪	わる.い			悪さ	
悪	わる.い			悪者	
握	アク			握手	
握	アク			握力	
握	アク			掌握	
握	にぎ.る			握る	
握	にぎ.る			握り	
握	にぎ.る			一握り	
圧	アツ			圧力	
圧	アツ			圧迫	
圧	アツ			気圧	
扱	あつか.う			扱う	
扱	あつか.う			扱い	
扱	あつか.う			客扱い	
宛	あて.る			宛先	
宛	あ.てる			宛てる	
嵐	あらし			嵐	
嵐	あらし			砂嵐	
安	アン			安全	
安	アン			安価	
安	アン			不安	
安	やす.い			安い	
安	やす.い			安らかだ	
案	アン			案文	
案	アン			案内	
案	アン			新案	
暗	アン			暗示	
暗	アン			暗愚	
暗	アン			明暗	
暗	くら.い			暗い	
暗	くら.い			暗がり	
以	イ			以上	
以	イ			以内	
以	イ			以後	
衣	イ			衣服	
衣	イ			衣食住	
衣	イ			作業衣	
衣	ころも			衣	
衣	ころも			羽衣	
位	イ			位置	
位	イ			第一位	
位	イ			各位	
位	くらい			位	
位	くらい			位取り	
位	くらい			位する	
位	ミ		イ	三位一体	
位	ミ		イ	従三位	
囲	イ			囲碁	
囲	イ			包囲	
囲	イ			範囲	
囲	かこ.む			囲む	
囲	かこ.む			囲み	
囲	かこ.う			囲う	
囲	かこ.う			囲い	
医	イ			医学	
医	イ			医療	
医	イ			名医	
依	イ			依頼	
依	イ			依拠	
依	イ			依然	
依	エ	Y		帰依	
委	イ			委任	
委	イ			委員	
委	イ			委細	
委	ゆだ.ねる			委ねる	
威	イ			威力	
威	イ			威圧	
威	イ			示威	
為	イ			為政者	
為	イ			行為	
為	イ			作為	
畏	イ			畏敬	
畏	イ			畏怖	
畏	おそ.れる			畏れる	
畏	おそ.れる			畏れ	
胃	イ			胃腸	
胃	イ			胃酸	
胃	イ			胃弱	
尉	イ			尉官	
尉	イ			一尉	
尉	イ			大尉	
異	イ			異論	
異	イ			異同	
異	イ			奇異	
異	こと			異にする	
異	こと			異なる	
移	イ			移転	
移	イ			移民	
移	イ			推移	
移	うつ.る			移る	
移	うつ.る			移り変わり	
移	うつ.す			移す	
萎	イ			萎縮	
萎	な.える			萎える	
偉	イ			偉大	
偉	イ			偉人	
偉	イ			偉観	
偉	えら.い			偉い	
偉	えら.い			偉ぶる	
椅	イ			椅子	
彙	イ			語彙	
意	イ			意見	
意	イ			意味	
意	イ			決意	
違	イ			違反	
違	イ			違法	
違	イ			相違	
違	ちが.う			違う	
違	ちが.う			違い	
違	ちが.う			間違う	
違	ちが.える			違える	
違	ちが.える			見違える	
違	ちが.える			間違える	
維	イ			維持	
維	イ			維新	
維	イ			繊維	
慰	イ			慰安	
慰	イ			慰問	
慰	イ			慰労	
慰	なぐさ.める			慰める	
慰	なぐさ.める			慰め	
慰	なぐさ.む			慰む	
慰	なぐさ.む			慰み	
遺	イ			遺棄	
遺	イ			遺産	
遺	イ			遺失	
遺	ユイ	Y		遺言	
緯	イ			緯度	
緯	イ			北緯	
緯	イ			経緯	
域	イキ			域内	
域	イキ			地域	
域	イキ			区域	
育	イク			育児	
育	イク			教育	
育	イク			発育	
育	そだ.つ			育つ	
育	そだ.つ			育ち	
育	そだ.てる			育てる	
育	そだ.てる			育て親	
育	はぐく.む			育む	
一	イチ			一度	
一	イチ			一座	
一	イチ			第一	
一	イツ			一般	
一	イツ			同一	
一	イツ			統一	
一	ひと			一息	
一	ひと			一筋	
一	ひと			一月目	
一	ひと.つ			一つ	
壱	イチ			壱万円	
逸	イツ			逸話	
逸	イツ			逸品	
逸	イツ			逸する	
茨	いばら	Y		茨城県	
芋	いも			芋	
芋	いも			里芋	
芋	いも			焼き芋	
引	イン			引力	
引	イン			引退	
引	イン			索引	
引	ひ.く			引く	
引	ひ.く			字引	
引	ひ.ける			引ける	
印	イン			印刷	
印	イン			印象	
印	イン			調印	
印	しるし			印	
印	しるし			目印	
印	しるし			矢印	
因	イン			因果	
因	イン			原因	
因	イン			要因	
因	よ.る			因る	
因	よ.る			に因る	Suffix
咽	イン			咽喉	
姻	イン			姻族	
姻	イン			婚姻	
員	イン			満員	
員	イン			定員	
員	イン			社員	
院	イン			院内	
院	イン			議院	
院	イン			病院	
淫	イン			淫行	
淫	イン			淫乱	
淫	みだ.ら			淫らだ	
陰	イン			陰気	
陰	イン			陰性	
陰	イン			光陰	
陰	かげ			陰	
陰	かげ			日陰	
陰	かげ.る			陰る	
陰	かげ.る			陰り	
飲	イン			飲料	
飲	イン			飲食	
飲	イン			痛飲	
飲	の.む			飲む	
飲	の.む			飲み水	
隠	イン			隠居	
隠	イン			隠忍	
隠	イン			隠語	
隠	かく.す			隠す	
隠	かく.れる			隠れる	
隠	かく.れる			雲隠れ	
韻	イン			韻律	
韻	イン			韻文	
韻	イン			音韻	
右	ウ			右岸	
右	ウ			右折	
右	ウ			右派	
右	ユウ			左右	
右	ユウ			座右	
右	みぎ			右	
右	みぎ			右手	
宇	ウ			宇宙	
宇	ウ			気宇	
宇	ウ			堂宇	
羽	ウ			羽毛	
羽	ウ			羽化	
羽	ウ			羽翼	
羽	わ		は	一羽	
羽	ば		は	三羽	
羽	ぱ		は	六羽	
羽	は			白羽の矢	
羽	はね			羽	
羽	はね			羽飾り	
雨	ウ			雨量	
雨	ウ			降雨	
雨	ウ			梅雨	
雨	あめ			雨	
雨	あめ			大雨	
雨	あま	Y		雨雲	
雨	あま	Y		雨戸	
雨	あま	Y		雨具	
唄	うた	Y		小唄	
唄	うた	Y		長唄	
鬱	ウツ			憂鬱	
畝	うね			畝	
畝	うね			畝間	
畝	うね			畝織	
浦	うら			浦	
浦	うら			津々浦々	
運	ウン			運動	
運	ウン			運命	
運	ウン			海運	
運	はこ.ぶ			運ぶ	
雲	ウン			雲海	
雲	ウン			風雲	
雲	ウン			積乱雲	
雲	くも			雲	
雲	くも			雲隠れ	
永	エイ			永続	
永	エイ			永久	
永	エイ			永遠	
永	なが.い			永い	
永	なが.い			日永	
泳	エイ			泳法	
泳	エイ			水泳	
泳	エイ			背泳	
泳	およ.ぐ			泳ぐ	
泳	およ.ぐ			泳ぎ	
英	エイ			英雄	
英	エイ			英断	
英	エイ			俊英	
映	エイ			映画	
映	エイ			上映	
映	エイ			反映	
映	うつ.る			映る	
映	うつ.る			映り	
映	うつ.す			映す	
映	は.える			映える	
映	は.える			夕映え	
栄	エイ			栄枯	
栄	エイ			栄養	
栄	エイ			繁栄	
栄	さか.える			栄える	
栄	さか.える			栄え	
栄	は.え			栄えある	
栄	は.え			見栄え	
栄	は.え			出来栄え	
栄	は.える			栄える	
営	エイ			営業	
営	エイ			経営	
営	エイ			陣営	
営	いとな.む			営む	
営	いとな.む			営み	
詠	エイ			詠嘆	
詠	エイ			詠草	
詠	エイ			朗詠	
詠	よ.む			詠む	
影	エイ			影響	
影	エイ			陰影	
影	エイ			撮影	
影	かげ			影	
影	かげ			影絵	
影	かげ			人影	
鋭	エイ			鋭利	
鋭	エイ			鋭敏	
鋭	エイ			精鋭	
鋭	するど.い			鋭い	
鋭	するど.い			鋭さ	
衛	エイ			衛生	
衛	エイ			護衛	
衛	エイ			守衛	
易	エキ			易者	
易	エキ			貿易	
易	エキ			不易	
易	イ			容易	
易	イ			安易	
易	イ			難易	
易	やさ.しい			易しい	
易	やさ.しい			易しさ	
疫	エキ			疫病	
疫	エキ			悪疫	
疫	エキ			防疫	
疫	ヤク	Y		疫病神	
益	エキ			有益	
益	エキ			利益	
益	エキ			益する	
益	ヤク	Y		御利益	
液	エキ			液体	
液	エキ			液状	
液	エキ			血液	
駅	エキ			駅長	
駅	エキ			駅伝	
駅	エキ			貨物駅	
悦	エツ			悦楽	
悦	エツ			喜悦	
越	エツ			越境	
越	エツ			超越	
越	エツ			優越	
越	こ.す			越す	
越	こ.す			年越し	
越	こ.える			越える	
越	こ.える			山越え	
謁	エツ			謁見	
謁	エツ			拝謁	
謁	エツ			謁する	
閲	エツ			閲覧	
閲	エツ			閲歴	
閲	エツ			校閲	
円	エン			円卓	
円	エン			円熟	
円	エン			一円	
円	まる.い			円い	
円	まる.い			円さ	
円	まる.い			円み	
延	エン			延長	
延	エン			延期	
延	エン			遅延	
延	の.びる			延びる	
延	の.べる			延べる	
延	の.べる			延べ	
延	の.ばす			延ばす	
沿	エン			沿海	
沿	エン			沿線	
沿	エン			沿革	
沿	そ.う			沿う	
沿	そ.う			川沿い	
炎	エン			炎上	
炎	エン			炎天	
炎	エン			火炎	
炎	ほのお			炎	
怨	エン			怨恨	
怨	オン			怨念	
宴	エン			宴会	
宴	エン			宴席	
宴	エン			酒宴	
媛	エン			才媛	
援	エン			援助	
援	エン			応援	
援	エン			声援	
園	エン			園芸	
園	エン			公園	
園	エン			楽園	
園	その			学びの園	
園	その			花園	
煙	エン			煙突	
煙	エン			煙霧	
煙	エン			喫煙	
煙	けむ.る			煙る	
煙	けむり			煙	
煙	けむ.い			煙い	
煙	けむ.い			煙たい	
煙	けむ.い			煙たがる	
猿	エン			野猿	
猿	エン			類人猿	
猿	エン			犬猿の仲	
猿	さる			猿	
遠	エン			遠近	
遠	エン			永遠	
遠	エン			敬遠	
遠	オン	Y		久遠	
遠	とお.い			遠い	
遠	とお.い			遠出	
遠	とお.い			遠ざかる	
鉛	エン			鉛筆	
鉛	エン			亜鉛	
鉛	エン			黒鉛	
鉛	なまり			鉛	
鉛	なまり			鉛色	
塩	エン			塩分	
塩	エン			塩酸	
塩	エン			食塩	
塩	しお			塩	
塩	しお			塩辛い	
演	エン			演技	
演	エン			演奏	
演	エン			講演	
縁	エン			縁故	
縁	エン			縁日	
縁	エン			血縁	
縁	ふち			縁	
縁	ふち			縁取り	
縁	ふち			額縁	
艶	エン			妖艶	
艶	つや			艶	
艶	つや			色艶	
汚	オ			汚点	
汚	オ			汚物	
汚	オ			汚名	
汚	けが.す			汚す	
汚	けが.れる			汚れる	
汚	けが.れる			汚れ	
汚	けが.らわしい			汚らわしい	
汚	よご.す			汚す	
汚	よご.す			口汚し	
汚	よご.れる			汚れる	
汚	よご.れる			汚れ	
汚	よご.れる			汚れ物	
汚	きたな.い			汚い	
汚	きたな.い			汚らしい	
王	オウ			王子	
王	オウ			帝王	
凹	オウ			凹凸	
凹	オウ			凹面鏡	
凹	オウ			凹レンズ	
央	オウ			中央	
応	オウ			応答	
応	オウ			応用	
応	オウ			呼応	
応	こた.える			応える	
往	オウ			往復	
往	オウ			往来	
往	オウ			既往症	
押	オウ			押収	
押	オウ			押印	
押	オウ			押韻	
押	お.す			押す	
押	お.す			押し	
押	お.さえる			押さえる	
押	お.さえる			押さえ	
旺	オウ			旺盛	
欧	オウ			欧文	
欧	オウ			西欧	
欧	オウ			渡欧	
殴	オウ			殴打	
殴	なぐ.る			殴る	
桜	オウ			桜花	
桜	オウ			観桜	
桜	さくら			桜	
桜	さくら			桜色	
桜	さくら			葉桜	
翁	オウ			老翁	
奥	オウ			奥義	
奥	オウ			深奥	
奥	おく			奥	
奥	おく			奥底	
奥	おく			奥さん	
横	オウ			横断	
横	オウ			横領	
横	オウ			専横	
横	よこ			横	
横	よこ			横顔	
横	よこ			横たわる	
岡	おか	Y		岡山県	
岡	おか	Y		静岡県	
岡	おか	Y		福岡県	
屋	オク			屋上	
屋	オク			屋外	
屋	オク			家屋	
屋	や			屋根	
屋	や			花屋	
屋	や			楽屋	
億	オク			億万	
億	オク			一億	
憶	オク			記憶	
憶	オク			追憶	
臆	オク			臆説	
臆	オク			臆測	
臆	オク			臆病	
虞	おそれ			虞	
乙	オツ			乙種	
乙	オツ			甲乙	
俺	おれ			俺	
卸	おろ.す			卸す	
卸	おろし			卸	
卸	おろし			卸商	
音	オン			音楽	
音	オン			発音	
音	オン			騒音	
音	イン			福音	
音	イン			母音	
音	おと			音	
音	おと			物音	
音	ね			音	
音	ね			音色	
恩	オン			恩情	
恩	オン			恩人	
恩	オン			謝恩	
温	オン			温暖	
温	オン			温厚	
温	オン			気温	
温	あたた.か			温かだ	
温	あたた.かい			温かい	
温	あたた.まる			温まる	
温	あたた.める			温める	
穏	オン			穏和	
穏	オン			穏当	
穏	オン			平穏	
穏	おだ.やか			穏やかだ	
下	カ			下流	
下	カ			下降	
下	カ			落下	
下	ゲ			下水	
下	ゲ			下車	
下	ゲ			上下	
下	した			下	
下	した			下見	
下	しも			下	
下	しも			川下	
下	もと			下	
下	もと			足下	
下	さ.げる			下げる	
下	さ.がる			下がる	
下	くだ.る			下る	
下	くだ.る			下り	
下	くだ.す			下す	
下	くだ.さる			下さる	
下	お.ろす			下ろす	
下	お.ろす			書き下ろす	
下	お.りる			下りる	
化	カ			化石	
化	カ			化学	
化	カ			文化	
化	ケ			化粧	
化	ケ			化身	
化	ケ			権化	
化	ば.ける			化ける	
化	ば.ける			お化け	
化	ば.かす			化かす	
火	カ			火災	
火	カ			灯火	
火	カ			発火	
火	ひ			火	
火	ひ			火花	
火	ひ			炭火	
火	ほ	Y		火影	
加	カ			加入	
加	カ			加減	
加	カ			追加	
加	くわ.える			加える	
加	くわ.わる			加わる	
可	カ			可否	
可	カ			可能	
可	カ			許可	
仮	カ			仮面	
仮	カ			仮定	
仮	カ			仮装	
仮	ケ	Y		仮病	
仮	かり			仮の住まい	
仮	かり			仮に	
仮	かり			仮処分	
何	カ			幾何学	
何	なに			何	
何	なに			何者	
何	なに			何事	
何	なん	Y		何本	
何	なん	Y		何十	
何	なん	Y		何点	
花	カ			花弁	
花	カ			花壇	
花	カ			落花	
花	はな			花	
花	はな			花火	
花	はな			草花	
佳	カ			佳作	
佳	カ			佳人	
佳	カ			絶佳	
価	カ			価値	
価	カ			価格	
価	カ			評価	
価	あたい			価	
果	カ			果実	
果	カ			果断	
果	カ			結果	
果	は.たす			果たす	
果	は.たす			果たして	Adverb
果	は.てる			果てる	
果	は.て			果て	
河	カ			河川	
河	カ			河口	
河	カ			運河	
河	かわ			河	
苛	カ			苛酷	
苛	カ			苛烈	
科	カ			科学	
科	カ			教科	
科	カ			罪科	
架	カ			架橋	
架	カ			架空	
架	カ			書架	
架	か.ける			架ける	
架	か.かる			架かる	
夏	カ			夏季	
夏	カ			初夏	
夏	カ			盛夏	
夏	ゲ	Y		夏至	
夏	なつ			夏	
夏	なつ			夏服	
夏	なつ			真夏	
家	カ			家屋	
家	カ			家庭	
家	カ			作家	
家	ケ			家来	
家	ケ			本家	
家	ケ			分家	
家	いえ			家	
家	いえ			家柄	
家	いえ			家元	
家	や			家主	
家	や			借家	
荷	カ			出荷	
荷	カ			入荷	
荷	に			荷	
荷	に			荷物	
荷	に			初荷	
華	カ			華美	
華	カ			繁華	
華	カ			栄華	
華	ケ	Y		香華	
華	ケ	Y		散華	
華	はな			華やかだ	
華	はな			華やぐ	
華	はな			華々しい	
菓	カ			菓子	
菓	カ			製菓	
菓	カ			茶菓	
貨	カ			貨物	
貨	カ			貨幣	
貨	カ			通貨	
渦	カ			渦中	
渦	うず			渦	
渦	うず			渦潮	
渦	うず			渦巻く	
過	カ			過度	
過	カ			過失	
過	カ			通過	
過	す.ぎる			過ぎる	
過	す.ぎる			昼過ぎ	
過	す.ごす			過ごす	
過	あやま.つ			過つ	
過	あやま.ち			過ち	
嫁	カ			再嫁	
嫁	カ			転嫁	
嫁	カ			嫁する	
嫁	よめ			嫁	
嫁	よめ			花嫁	
嫁	とつ.ぐ			嫁ぐ	
嫁	とつ.ぐ			嫁ぎ先	
暇	カ			余暇	
暇	カ			休暇	
暇	カ			寸暇	
暇	ひま			暇	
暇	ひま			暇な時	
禍	カ			禍福	
禍	カ			禍根	
禍	カ			災禍	
靴	カ			製靴	
靴	くつ			靴	
靴	くつ			靴下	
靴	くつ			革靴	
寡	カ			寡黙	
寡	カ			寡婦	
寡	カ			多寡	
歌	カ			歌曲	
歌	カ			唱歌	
歌	カ			短歌	
歌	うた			歌	
歌	うた.う			歌う	
箇	カ			箇条	
箇	カ			箇所	
稼	カ			稼業	
稼	カ			稼働	
稼	かせ.ぐ			稼ぐ	
稼	かせ.ぐ			稼ぎ	
課	カ			課	
課	カ			日課	
課	カ			課する	
蚊	か			蚊	
蚊	か			蚊柱	
蚊	か			やぶ蚊	
牙	ガ			牙城	
牙	ガ			歯牙	
牙	ゲ	Y		象牙	
牙	きば			牙	
瓦	ガ			瓦解	
瓦	かわら			瓦	
瓦	かわら			瓦屋根	
我	ガ			我流	
我	ガ			彼我	
我	ガ			自我	
我	われ			我	
我	われ			我々	
我	われ			我ら	
我	わ			我が国	
画	ガ			画家	
画	ガ			図画	
画	ガ			映画	
画	カク			画期的	
画	カク			計画	
画	カク			区画	
芽	ガ			発芽	
芽	ガ			麦芽	
芽	ガ			肉芽	
芽	め			芽	
芽	め			芽生える	
芽	め			新芽	
賀	ガ			賀状	
賀	ガ			祝賀	
賀	ガ			賀する	
雅	ガ			雅趣	
雅	ガ			優雅	
雅	ガ			風雅	
餓	ガ			餓死	
餓	ガ			餓鬼	
餓	ガ			飢餓	
介	カイ			介入	
介	カイ			紹介	
介	カイ			介する	
回	カイ			回答	
回	カイ			転回	
回	カイ			次回	
回	エ	Y		回向	
回	まわ.る			回る	
回	まわ.る			回り	
回	まわ.る			回り道	
回	まわ.す			回す	
回	まわ.す			手回し	
灰	カイ			灰白色	
灰	カイ			石灰	
灰	はい			灰	
灰	はい			灰色	
灰	はい			火山灰	
会	カイ			会話	
会	カイ			会計	
会	カイ			社会	
会	エ			会釈	
会	エ			会得	
会	エ			法会	
会	あ.う			会う	
快	カイ			快活	
快	カイ			快晴	
快	カイ			明快	
快	こころよ.い			快い	
戒	カイ			戒心	
戒	カイ			戒律	
戒	カイ			警戒	
戒	いまし.める			戒める	
戒	いまし.める			戒め	
改	カイ			改造	
改	カイ			改革	
改	カイ			更改	
改	あらた.める			改める	
改	あらた.める			改めて	Adverb
改	あらた.まる			改まる	
怪	カイ			怪談	
怪	カイ			怪物	
怪	カイ			奇怪	
怪	あや.しい			怪しい	
怪	あや.しい			怪しげだ	
怪	あや.しむ			怪しむ	
拐	カイ			拐帯	
拐	カイ			誘拐	
悔	カイ			悔恨	
悔	カイ			後悔	
悔	く.いる			悔いる	
悔	く.いる			悔い	
悔	く.やむ			悔やむ	
悔	く.やむ			お悔やみ	
悔	くや.しい			悔しい	
悔	くや.しい			悔しがる	
海	カイ			海岸	
海	カイ			海水浴	
海	カイ			航海	
海	うみ			海	
海	うみ			海鳴り	
界	カイ			境界	
界	カイ			限界	
界	カイ			世界	
皆	カイ			皆無	
皆	カイ			皆勤	
皆	カイ			皆出席	
皆	みな			皆	
皆	みな			皆さん	
械	カイ			機械	
絵	カイ			絵画	
絵	エ			絵本	
絵	エ			絵図	
絵	エ			口絵	
開	カイ			開始	
開	カイ			開拓	
開	カイ			展開	
開	ひら.く			開く	
開	ひら.く			川開き	
開	ひら.ける			開ける	
開	あ.く			開く	
開	あ.ける			開ける	
開	あ.ける			開けたて	
階	カイ			階段	
階	カイ			階級	
階	カイ			地階	
塊	カイ			塊状	
塊	カイ			山塊	
塊	かたまり			塊	
楷	カイ			楷書	
解	カイ			解決	
解	カイ			解禁	
解	カイ			理解	
解	ゲ			解脱	
解	ゲ			解熱剤	
解	ゲ			解毒剤	
解	と.く			解く	
解	と.かす			解かす	
解	と.ける			解ける	
潰	カイ			潰瘍	
潰	つぶ.す			潰す	
潰	つぶ.れる			潰れる	
壊	カイ			壊滅	
壊	カイ			破壊	
壊	カイ			決壊	
壊	こわ.す			壊す	
壊	こわ.れる			壊れる	
懐	カイ			懐中	
懐	カイ			懐古	
懐	カイ			述懐	
懐	ふところ			懐	
懐	ふところ			懐手	
懐	ふところ			内懐	
懐	なつ.かしい			懐かしい	
懐	なつ.かしむ			懐かしむ	
懐	なつ.く			懐く	
懐	なつ.ける			懐ける	
諧	カイ			俳諧	
貝	かい			貝	
貝	かい			貝細工	
貝	かい			ほら貝	
外	ガイ			外出	
外	ガイ			海外	
外	ガイ			除外	
外	ゲ			外科	
外	ゲ			外題	
外	ゲ			外道	
外	そと			外	
外	そと			外囲い	
外	ほか			外	
外	ほか			その外	
外	はず.す			外す	
外	はず.す			踏み外す	
外	はず.れる			外れる	
外	はず.れる			町外れ	
劾	ガイ			弾劾	
害	ガイ			害悪	
害	ガイ			被害	
害	ガイ			損害	
崖	ガイ			断崖	
崖	がけ			崖下	
涯	ガイ			生涯	
街	ガイ			街頭	
街	ガイ			市街	
街	ガイ			商店街	
街	カイ	Y		街道	
街	まち			街	
街	まち			街角	
慨	ガイ			慨嘆	
慨	ガイ			憤慨	
慨	ガイ			感慨	
蓋	ガイ			頭蓋骨	
蓋	ふた			蓋	
蓋	ふた			火蓋	
該	ガイ			該当	
該	ガイ			該博	
該	ガイ			当該	
概	ガイ			概念	
概	ガイ			大概	
概	ガイ			概して	
骸	ガイ			形骸化	
骸	ガイ			死骸	
垣	かき			垣	
垣	かき			垣根	
柿	かき			柿	
各	カク			各自	
各	カク			各種	
各	カク			各位	
各	おのおの			各	
角	カク			角度	
角	カク			三角	
角	カク			頭角	
角	かど			角	
角	かど			街角	
角	かど			四つ角	
角	つの			角	
角	つの			角笛	
拡	カク			拡大	
拡	カク			拡張	
拡	カク			拡声器	
革	カク			革新	
革	カク			改革	
革	カク			皮革	
革	かわ			革	
革	かわ			革靴	
格	カク			格式	
格	カク			規格	
格	カク			性格	
格	コウ	Y		格子	
核	カク			核心	
核	カク			核反応	
核	カク			結核	
殻	カク			甲殻	
殻	カク			地殻	
殻	から			殻	
殻	から			貝殻	
郭	カク			城郭	
郭	カク			外郭	
郭	カク			輪郭	
覚	カク			覚悟	
覚	カク			知覚	
覚	カク			発覚	
覚	おぼ.える			覚える	
覚	おぼ.える			覚え	
覚	さ.ます			覚ます	
覚	さ.ます			目覚まし	
覚	さ.める			覚める	
覚	さ.める			目覚め	
較	カク			比較	
隔	カク			隔離	
隔	カク			隔月	
隔	カク			間隔	
隔	へだ.てる			隔てる	
隔	へだ.てる			隔て	
隔	へだ.たる			隔たる	
隔	へだ.たる			隔たり	
閣	カク			閣議	
閣	カク			閣僚	
閣	カク			内閣	
確	カク			確定	
確	カク			確認	
確	カク			正確	
確	たし.か			確かだ	
確	たし.か			確かさ	
確	たし.かめる			確かめる	
獲	カク			獲得	
獲	カク			捕獲	
獲	カク			漁獲高	
獲	え.る			獲る	
獲	え.る			獲物	
嚇	カク			威嚇	
穫	カク			収穫	
学	ガク			学習	
学	ガク			科学	
学	ガク			大学	
学	まな.ぶ			学ぶ	
岳	ガク			岳父	
岳	ガク			山岳	
岳	たけ			○○岳	
楽	ガク			楽隊	
楽	ガク			楽器	
楽	ガク			音楽	
楽	ラク			楽園	
楽	ラク			快楽	
楽	ラク			娯楽	
楽	たの.しい			楽しい	
楽	たの.しい			楽しさ	
楽	たの.しい			楽しげだ	
楽	たの.しむ			楽しむ	
額	ガク			額縁	
額	ガク			金額	
額	ガク			前額部	
額	ひたい			額	
顎	ガク			顎関節	
顎	あご			顎	
掛	か.ける			掛ける	
掛	か.かる			掛かる	
掛	かかり			掛	
潟	かた			干潟	
潟	かた			○○潟	
括	カツ			括弧	
括	カツ			一括	
括	カツ			包括	
活	カツ			活動	
活	カツ			活力	
活	カツ			生活	
喝	カツ			喝破	
喝	カツ			一喝	
喝	カツ			恐喝	
渇	カツ			渇望	
渇	カツ			渇水	
渇	かわ.く			渇く	
渇	かわ.く			渇き	
割	カツ			割愛	
割	カツ			割拠	
割	カツ			分割	
割	わ.る			割る	
割	わり			割がいい	
割	わり			割合	
割	わり			割に	
割	わり			五割	
割	わ.れる			割れる	
割	わ.れる			ひび割れ	
割	さ.く			割く	
葛	カツ			葛藤	
葛	くず			葛	
葛	くず			葛湯	
滑	カツ			滑走	
滑	カツ			滑降	
滑	カツ			円滑	
滑	コツ			滑稽	
滑	すべ.る			滑る	
滑	すべ.る			滑り	
滑	なめ.らか			滑らかだ	
褐	カツ			褐色	
褐	カツ			茶褐色	
轄	カツ			管轄	
轄	カツ			所轄	
轄	カツ			直轄	
且	か.つ			且つ	
株	かぶ			株	
株	かぶ			株式	
釜	かま			釜	
鎌	かま			鎌	
鎌	かま			鎌倉時代	
刈	か.る			刈る	
刈	か.る			刈り入れ	
干	カン			干渉	
干	カン			干潮	
干	カン			若干	
干	ほ.す			干す	
干	ほ.す			干し物	
干	ひ.る			干上がる	
干	ひ.る			干物	
干	ひ.る			潮干狩り	
刊	カン			刊行	
刊	カン			発刊	
刊	カン			週刊	
甘	カン			甘言	
甘	カン			甘受	
甘	カン			甘味料	
甘	あま.い			甘い	
甘	あま.い			甘み	
甘	あま.える			甘える	
甘	あま.やかす			甘やかす	
汗	カン			汗顔	
汗	カン			発汗	
汗	あせ			汗	
汗	あせ			汗ばむ	
缶	カン			缶	
缶	カン			缶詰	
缶	カン			製缶	
完	カン			完全	
完	カン			完成	
完	カン			未完	
肝	カン			肝臓	
肝	カン			肝胆	
肝	カン			肝要	
肝	きも			肝	
肝	きも			肝っ玉	
官	カン			官庁	
官	カン			官能	
官	カン			教官	
冠	カン			冠詞	
冠	カン			王冠	
冠	カン			栄冠	
冠	かんむり			冠	
巻	カン			巻頭	
巻	カン			圧巻	
巻	カン			一巻	
巻	ま.く			巻く	
巻	ま.く			巻き貝	
巻	まき			巻の一	
看	カン			看護	
看	カン			看破	
看	カン			看板	
陥	カン			陥落	
陥	カン			陥没	
陥	カン			欠陥	
陥	おちい.る			陥る	
陥	おとしい.れる			陥れる	
乾	カン			乾燥	
乾	カン			乾杯	
乾	カン			乾電池	
乾	かわ.く			乾く	
乾	かわ.かす			乾かす	
勘	カン			勘弁	
勘	カン			勘当	
患	カン			患者	
患	カン			疾患	
患	わずら.う			患う	
患	わずら.う			長患い	
貫	カン			貫通	
貫	カン			縦貫	
貫	カン			尺貫法	
貫	つらぬ.く			貫く	
寒	カン			寒暑	
寒	カン			寒村	
寒	カン			厳寒	
寒	さむ.い			寒い	
寒	さむ.い			寒がる	
寒	さむ.い			寒空	
喚	カン			喚問	
喚	カン			召喚	
喚	カン			叫喚	
堪	カン			堪忍	
堪	カン			堪能	
堪	た.える			堪える	
換	カン			換気	
換	カン			換算	
換	カン			交換	
換	か.える			換える	
換	か.わる			換わる	
敢	カン			敢然	
敢	カン			果敢	
敢	カン			勇敢	
棺	カン			棺おけ	
棺	カン			石棺	
棺	カン			出棺	
款	カン			定款	
款	カン			借款	
款	カン			落款	
間	カン			間隔	
間	カン			中間	
間	カン			時間	
間	ケン			世間	
間	ケン			人間	
間	あいだ			間	
間	あいだ			間柄	
間	ま			間	
間	ま			間違う	
間	ま			客間	
閑	カン			閑静	
閑	カン			閑却	
閑	カン			繁閑	
勧	カン			勧誘	
勧	カン			勧奨	
勧	カン			勧告	
勧	すす.める			勧める	
勧	すす.める			勧め	
寛	カン			寛大	
寛	カン			寛容	
寛	カン			寛厳	
幹	カン			幹線	
幹	カン			幹事	
幹	カン			根幹	
幹	みき			幹	
感	カン			感心	
感	カン			感覚	
感	カン			直感	
漢	カン			漢字	
漢	カン			漢語	
漢	カン			門外漢	
慣	カン			慣例	
慣	カン			慣性	
慣	カン			習慣	
慣	な.れる			慣れる	
慣	な.れる			慣れ	
慣	な.らす			慣らす	
